Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
1,825.0,0.1,0,1,0.0,Haiti,Typica,Washed / Wet,,arabica,0
275,2527.0,0.0,1,6,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
3,1040.0,0.11,11,0,0.0,Vietnam,Other,Other,Green,arabica,1
300,1000.0,0.0,0,0,0.0,India,,,Green,robusta,1
275,1800.0,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
200,1350.0,0.13,0,1,0.0,Indonesia,Mandheling,Semi-washed / Semi-pulped,Blue-Green,arabica,1
275,1500.0,0.1,0,5,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
320,,0.11,0,8,1.0,Ethiopia,Other,Natural / Dry,Green,arabica,1
500,695.0,0.11,5,8,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
50,1300.0,0.11,0,0,0.0,Taiwan,Typica,Other,,arabica,1
16,,0.0,0,17,0.0,United States (Hawaii),,,,arabica,1
12,1268.0,0.07,0,0,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
1,3825.0,0.0,0,2,0.0,Myanmar,Catuai,Washed / Wet,Green,arabica,1
320,872.0,0.11,0,3,2.0,Brazil,Bourbon,Natural / Dry,Bluish-Green,arabica,1
275,1350.0,0.11,0,2,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
320,1260.0,0.1,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
250,442.0,0.12,3,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
320,1000.0,0.09,0,0,0.0,India,Other,Washed / Wet,Green,robusta,1
1,,0.0,0,15,0.0,Colombia,,Natural / Dry,Bluish-Green,arabica,0
3,1600.0,0.1,0,0,0.0,China,Catimor,Washed / Wet,Green,arabica,1
20,157.8864,0.12,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
300,1750.0,0.1,0,2,0.0,Ethiopia,,,,arabica,1
250,1700.0,0.05,0,0,0.0,Colombia,,,,arabica,1
