Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
250,1600.0,0.11,2,7,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
20,1320.0,0.14,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
120,12.0,0.14,7,38,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
100,1700.0,0.1,2,7,0.0,Ethiopia,,Natural / Dry,Green,arabica,1
250,1310.64,0.11,0,9,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
280,1200.0,0.0,1,1,0.0,Mexico,Typica,Washed / Wet,,arabica,0
10,,0.13,0,7,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,1
200,1524.0,0.09,0,1,0.0,Guatemala,Catuai,Washed / Wet,Green,arabica,1
275,110000.0,0.12,0,5,0.0,Nicaragua,Other,Washed / Wet,Green,arabica,1
250,1000.0,0.0,0,2,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
50,850.0,0.0,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,,arabica,1
250,1524.0,0.11,0,1,0.0,Guatemala,Pacas,Washed / Wet,Green,arabica,1
1,1550.0,0.07,0,0,0.0,Vietnam,Catimor,Natural / Dry,,arabica,1
170,1.0,0.11,0,7,5.0,Kenya,,Washed / Wet,Green,arabica,1
250,1550.0,0.12,2,10,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1
250,1400.0,0.11,0,2,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
11,,0.11,5,9,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,0
10,2112.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
250,1300.0,0.1,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
2,1300.0,0.15,0,3,0.0,Indonesia,Bourbon,Washed / Wet,,arabica,1
10,1400.0,0.12,0,1,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,arabica,1
2,1066.8,0.0,0,5,0.0,Myanmar,Other,Other,,arabica,1
2,1400.0,0.01,0,0,0.0,El Salvador,,,,arabica,1
35,1000.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
320,1800.0,0.0,0,1,0.0,"Tanzania, United Republic Of",,,Green,arabica,1
6,,0.11,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
200,1100.0,0.0,0,8,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,,0.12,0,4,0.0,Brazil,,,Green,arabica,1
1,,0.0,1,10,0.0,Costa Rica,,Washed / Wet,Green,arabica,1
10,1000.0,0.12,0,2,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
35,1300.0,0.14,0,9,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
75,1250.0,0.11,0,0,0.0,Nicaragua,Caturra,Washed / Wet,Green,arabica,0
320,1050.0,0.11,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
250,1750.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1750.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
49,1560.0,0.12,0,5,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
550,1100.0,0.11,0,3,0.0,Nicaragua,Caturra,Other,Green,arabica,1
253,1264.0,0.0,0,9,0.0,Mexico,Mundo Novo,Washed / Wet,,arabica,0
10,1144.0,0.15,1,9,0.0,Mexico,Typica,Washed / Wet,,arabica,1
275,1350.0,0.1,0,3,0.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
35,650.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
30,1100.0,0.11,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1400.0,0.1,0,5,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
0,1750.0,0.02,0,1,0.0,Colombia,,,,arabica,1
440,995.0,0.11,0,1,1.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
37,1600.0,0.08,0,0,1.0,Panama,Gesha,Washed / Wet,Bluish-Green,arabica,1
11,,0.11,0,4,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
250,1000.0,0.11,0,1,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
250,1900.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
5,1400.0,0.13,0,21,0.0,"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,Green,arabica,1
10,,0.0,1,4,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,1
40,1250.0,0.12,0,13,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
28,1650.0,0.12,0,1,0.0,Mexico,Typica,Washed / Wet,,arabica,1
10,1200.0,0.12,1,11,0.0,Mexico,Other,Washed / Wet,Green,arabica,0
250,1625.0,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,Blue-Green,arabica,1
250,1310.64,0.11,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
320,1900.0,0.1,0,18,0.0,Ethiopia,,Washed / Wet,Green,arabica,1
250,1900.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1750.0,0.0,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
1,,0.0,0,1,0.0,Ecuador,,,Blue-Green,robusta,0
27,,0.0,0,4,0.0,Brazil,,,,arabica,1
300,,0.12,0,9,0.0,Brazil,Catuai,Natural / Dry,,arabica,1
75,1275.0,0.0,0,4,0.0,Brazil,Yellow Bourbon,,,arabica,1
20,1400.0,0.13,0,2,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
275,1350.0,0.12,0,1,0.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
320,890.0,0.11,0,5,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
275,1450.0,0.11,0,2,0.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
250,1310.64,0.11,0,5,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1775.0,0.01,0,0,0.0,Colombia,Caturra,,,arabica,1
10,1450.0,0.12,0,0,0.0,Mexico,Typica,Washed / Wet,Bluish-Green,arabica,1
1,1250.0,0.12,0,0,0.0,Laos,Other,Washed / Wet,Blue-Green,arabica,1
250,,0.1,0,2,2.0,Guatemala,Bourbon,,Green,arabica,1
43,1600.0,0.0,0,4,4.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
3,1500.0,0.11,0,2,0.0,China,Catimor,Washed / Wet,Green,arabica,1
320,1700.0,0.1,10,26,0.0,Uganda,Other,Washed / Wet,Green,arabica,1
10,850.0,0.07,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
2,800.0,0.0,0,3,0.0,Thailand,,Washed / Wet,Green,arabica,1
14,1400.0,0.16,0,0,0.0,Mexico,Typica,Washed / Wet,,arabica,0
16,1900.0,0.1,0,3,0.0,Kenya,SL28,Natural / Dry,Green,arabica,1
44,950.0,0.11,0,2,0.0,Brazil,Mundo Novo,Washed / Wet,Green,arabica,1
100,1800.0,0.12,0,5,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
30,650.0,0.12,0,0,0.0,Taiwan,Typica,Washed / Wet,Bluish-Green,arabica,1
5,,0.11,0,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Blue-Green,arabica,1
275,1750.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
50,1700.0,0.1,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
305,,0.11,0,55,1.0,Brazil,,Natural / Dry,Green,arabica,0
100,1250.0,0.12,0,6,0.0,Mexico,Typica,Natural / Dry,Green,arabica,0
320,1100.0,0.11,0,0,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
10,1600.0,0.0,0,0,0.0,Indonesia,,,,arabica,1
275,1200.0,0.11,0,2,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
80,1219.2,0.12,0,3,1.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1450.0,0.11,0,1,1.0,Honduras,Catuai,Washed / Wet,Blue-Green,arabica,1
275,,0.0,0,5,3.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
300,439.0,0.0,0,1,2.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,533.0,0.16,3,8,0.0,Mexico,Bourbon,Washed / Wet,,arabica,1
275,1200.0,0.1,0,2,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
15,1250.0,0.11,0,11,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
20,1745.0,0.12,0,2,0.0,Uganda,,,Green,robusta,1
250,1310.64,0.11,0,13,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
10,1200.0,0.08,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
10,975.0,0.13,5,6,0.0,Mexico,Caturra,Washed / Wet,,arabica,0
100,1950.0,0.12,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
250,1550.0,0.12,1,20,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,0
50,1000.0,0.12,0,1,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
275,,0.11,0,0,0.0,Guatemala,,Washed / Wet,Bluish-Green,arabica,1
300,1100.0,0.0,0,4,0.0,Panama,Catuai,Washed / Wet,Green,arabica,1
320,890.0,0.0,0,0,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
1,,0.0,0,0,0.0,Taiwan,,Natural / Dry,Blue-Green,arabica,1
27,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
300,1200.0,0.12,0,8,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
230,1500.0,0.11,0,4,4.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
275,1100.0,0.1,0,3,1.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
275,1417.32,0.1,0,1,0.0,Guatemala,Catuai,Washed / Wet,Bluish-Green,arabica,1
300,1200.0,0.0,0,1,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
50,1219.2,0.11,0,0,2.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
232,1775.0,0.0,0,4,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
10,1350.0,0.0,0,0,0.0,Indonesia,,,,arabica,1
250,,0.11,0,7,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
250,1500.0,0.09,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Blue-Green,arabica,1
250,1250.0,0.11,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,,0.1,0,3,0.0,Ethiopia,Typica,,,arabica,1
27,1754.0,0.1,0,3,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
275,1400.0,0.09,0,6,1.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
100,,0.11,0,1,0.0,Ethiopia,,Natural / Dry,Bluish-Green,arabica,1
250,1300.0,0.1,0,3,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
250,1310.64,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
15,1210.0,0.13,0,7,0.0,Mexico,Catuai,Semi-washed / Semi-pulped,Green,arabica,1
129,1500.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
121,1775.0,0.12,0,0,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
275,1100.0,0.11,0,1,0.0,Nicaragua,Other,Washed / Wet,,arabica,1
10,1170.0,0.12,0,0,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
320,2000.0,0.11,0,2,0.0,Ethiopia,,Natural / Dry,Green,arabica,1
250,1524.0,0.11,0,4,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
275,1550.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1500.0,0.11,2,3,2.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
5,688.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
500,1200.0,0.13,0,0,0.0,Thailand,Catimor,Washed / Wet,Bluish-Green,arabica,1
100,1050.0,0.12,0,2,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,arabica,1
10,600.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
300,1200.0,0.12,0,6,0.0,Brazil,Yellow Bourbon,Other,Green,arabica,1
10,1400.0,0.12,0,0,0.0,Indonesia,Other,Washed / Wet,Green,arabica,1
50,1700.0,0.11,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1600.0,0.06,0,1,0.0,Colombia,,,,arabica,1
42,975.0,0.0,0,4,0.0,Brazil,Mundo Novo,,,arabica,1
300,12.0,0.01,0,3,0.0,Brazil,Yellow Bourbon,,,arabica,1
275,1800.0,0.0,1,0,0.0,Colombia,Caturra,Washed / Wet,Blue-Green,arabica,1
250,1310.64,0.11,2,15,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
250,1550.0,0.12,0,3,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
275,1350.0,0.11,0,7,0.0,Honduras,Pacas,Natural / Dry,Green,arabica,0
250,1310.64,0.12,1,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1320.0,0.11,0,6,8.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
1,,0.0,0,4,0.0,Guatemala,,Natural / Dry,Blue-Green,arabica,1
250,1600.0,0.09,0,1,0.0,Colombia,,,,arabica,1
320,1488.0,0.12,0,2,0.0,Uganda,,,Green,robusta,1
250,1219.2,0.1,0,1,0.0,Guatemala,Bourbon,Other,Green,arabica,1
10,1000.0,0.1,0,0,0.0,Taiwan,Bourbon,Washed / Wet,Blue-Green,arabica,1
3,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
1,800.0,0.09,0,0,0.0,Ecuador,,Natural / Dry,Bluish-Green,arabica,1
275,1383.792,0.11,0,5,0.0,Guatemala,Bourbon,Natural / Dry,Green,arabica,1
275,,0.11,1,1,0.0,Nicaragua,,Natural / Dry,Green,arabica,0
304,442.0,0.0,0,2,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
250,1800.0,0.08,0,0,0.0,Colombia,,,,arabica,1
230,,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
100,750.0,0.0,0,1,0.0,India,,,Bluish-Green,robusta,1
8,,0.0,4,6,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,1
250,1750.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,1000.0,0.12,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,1
275,,0.0,1,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
12,900.0,0.11,0,20,0.0,Mexico,Bourbon,Washed / Wet,,arabica,0
275,1676.4,0.1,0,6,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1350.0,0.0,0,0,0.0,El Salvador,Bourbon,Washed / Wet,Green,arabica,1
275,1350.0,0.1,0,4,0.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
5,,0.0,1,0,0.0,Thailand,Peaberry,,,arabica,0
1,350.0,0.14,8,16,0.0,Haiti,Typica,Natural / Dry,Blue-Green,arabica,0
1,1400.0,0.12,0,4,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
275,,0.0,1,0,2.0,Colombia,Caturra,,Green,arabica,1
10,1240.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
250,1310.64,0.11,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
320,1606.5,0.1,0,5,0.0,Ethiopia,Gesha,Natural / Dry,Green,arabica,1
275,1775.0,0.11,1,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
300,125.0,0.12,0,2,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,arabica,1
275,900.0,0.11,0,2,0.0,Nicaragua,Caturra,Washed / Wet,Green,arabica,1
40,1642.0,0.11,0,5,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,1500.0,0.11,0,0,0.0,Thailand,Caturra,Washed / Wet,Bluish-Green,arabica,1
90,900.0,0.02,0,2,0.0,Brazil,,,,arabica,1
36,1100.0,0.11,0,2,0.0,Mexico,Other,Washed / Wet,,arabica,1
1,1000.0,0.12,0,0,0.0,Haiti,Typica,Washed / Wet,Green,arabica,1
320,1.0,0.0,0,1,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
250,1900.0,0.11,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
13,1500.0,0.16,0,2,0.0,Mexico,Typica,Washed / Wet,,arabica,0
320,982.0,0.11,0,11,3.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
250,1310.64,0.12,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
16,1550.0,0.14,3,17,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,0
15,1400.0,0.11,0,4,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
10,950.0,0.12,0,12,0.0,Mexico,Other,Washed / Wet,Green,arabica,1
300,1800.0,0.12,0,0,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
250,1300.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
15,1599.0,0.12,0,0,0.0,Malawi,Gesha,Washed / Wet,Green,arabica,1
42,1100.0,0.11,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,1250.0,0.1,0,10,0.0,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,,arabica,1
10,1200.0,0.08,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
1,1400.0,0.0,0,1,0.0,Mexico,Blue Mountain,,,arabica,1
250,1200.0,0.01,0,8,0.0,Mexico,Typica,,,arabica,0
275,2100.0,0.11,0,7,2.0,Guatemala,Pacas,Washed / Wet,Green,arabica,1
280,1400.0,0.0,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
3,1400.0,0.1,0,1,0.0,China,Catimor,Natural / Dry,Green,arabica,1
20,1200.0,0.0,0,0,0.0,Taiwan,Sumatra,Pulped natural / honey,Green,arabica,1
20,1600.0,0.0,0,2,0.0,Kenya,SL34,Washed / Wet,Green,arabica,1
275,1450.0,0.1,0,4,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,0
10,2285.0,0.13,0,7,0.0,"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,Green,arabica,1
149,,0.0,0,2,0.0,Colombia,,,,arabica,1
250,1483.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
320,1.0,0.0,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
22,,0.0,9,17,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,0
150,,0.12,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
250,1750.0,0.12,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1750.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Blue-Green,arabica,1
1,,0.1,0,0,0.0,Taiwan,,,Blue-Green,arabica,1
250,1400.0,0.0,0,7,0.0,Guatemala,Caturra,Washed / Wet,,arabica,1
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Blue-Green,arabica,0
10,1100.0,0.12,1,7,0.0,Mexico,Other,Washed / Wet,Green,arabica,0
275,,0.02,0,1,0.0,Guatemala,,,,arabica,1
250,1550.0,0.12,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
300,,0.11,0,10,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
250,,0.0,1,4,0.0,Colombia,Arusha,Natural / Dry,,arabica,1
250,,0.11,0,5,0.0,Guatemala,Bourbon,Washed / Wet,,arabica,0
250,1750.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
13,1250.0,0.0,1,3,0.0,Zambia,SL28,Washed / Wet,,arabica,1
280,1550.0,0.11,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
252,1775.0,0.12,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,1700.0,0.12,0,7,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
2,1550.0,0.0,0,0,0.0,Vietnam,Caturra,Other,Green,arabica,1
275,,0.1,0,1,0.0,Nicaragua,,,Green,arabica,1
250,1450.0,0.11,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
100,,0.11,0,0,0.0,Peru,Other,Washed / Wet,Bluish-Green,arabica,1
26,1500.0,0.1,0,1,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
10,1679.0,0.13,0,10,0.0,Mexico,Typica,Washed / Wet,,arabica,1
300,1700.0,0.12,0,0,0.0,Burundi,,,Green,arabica,1
140,750.0,0.13,0,0,0.0,India,,Natural / Dry,Blue-Green,robusta,1
12,,0.0,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
250,1310.64,0.11,0,10,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
4,,0.11,0,0,0.0,Thailand,Peaberry,,,arabica,1
166,1250.0,0.11,0,0,1.0,Indonesia,Other,Other,Green,arabica,1
250,,0.12,0,10,0.0,Guatemala,Bourbon,Washed / Wet,,arabica,0
320,894.0,0.11,0,3,1.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
275,1775.0,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
245,1600.0,0.01,1,14,0.0,Guatemala,,,,arabica,1
250,1750.0,0.11,0,2,,Colombia,Caturra,Washed / Wet,Green,arabica,1
8,1300.0,0.11,0,3,2.0,Mexico,,,Green,arabica,1
250,1200.0,0.0,0,0,0.0,Mexico,Typica,,,arabica,0
5,1250.0,0.11,0,1,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,arabica,1
20,1200.0,0.11,0,7,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
200,1500.0,0.13,0,8,0.0,Indonesia,Sumatra,Semi-washed / Semi-pulped,Bluish-Green,arabica,1
1,,0.06,0,0,0.0,Thailand,,,,arabica,1
25,1200.0,0.11,0,0,0.0,Mexico,Typica,Semi-washed / Semi-pulped,,arabica,1
150,1500.0,0.11,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1100.0,0.1,0,4,0.0,Costa Rica,Catuai,Washed / Wet,Bluish-Green,arabica,0
275,,0.0,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
175,1499.9208,0.02,0,2,0.0,Thailand,,,,arabica,1
300,,0.11,0,9,6.0,Brazil,Bourbon,Pulped natural / honey,Green,arabica,1
250,1380.0,0.11,0,2,0.0,Mexico,Typica,Washed / Wet,,arabica,1
320,890.0,0.0,0,4,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
5,,0.1,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,0
8,,0.0,0,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,1
275,1200.0,0.11,0,3,1.0,Honduras,Catimor,Washed / Wet,Blue-Green,arabica,1
14,,0.01,0,0,0.0,United States (Hawaii),,,,arabica,1
3,1200.0,0.11,0,0,0.0,China,Catimor,Washed / Wet,Green,arabica,1
7,,0.1,2,0,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Blue-Green,arabica,1
1,,0.11,10,3,0.0,Colombia,,Washed / Wet,Green,arabica,1
30,1300.0,0.12,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
320,1.0,0.0,0,1,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
30,1100.0,0.12,0,10,0.0,Mexico,Catuai,Washed / Wet,Green,arabica,1
250,1219.2,0.12,0,3,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
275,1200.0,0.12,1,13,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1
275,1396.0,0.1,0,8,1.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
84,1800.0,0.1,0,0,0.0,Uganda,SL14,Washed / Wet,Bluish-Green,arabica,1
360,,0.05,0,2,0.0,Ethiopia,,,,arabica,1
200,3000.0,0.0,0,0,0.0,India,,,Green,robusta,1
10,250.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
3,1650.0,0.1,0,2,1.0,China,Catimor,Washed / Wet,Green,arabica,1
300,1250.0,0.12,0,3,0.0,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
20,1200.0,0.1,0,0,0.0,Taiwan,Caturra,Natural / Dry,Bluish-Green,arabica,1
150,1800.0,0.11,0,4,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
250,1500.0,0.0,0,4,0.0,Colombia,Other,Washed / Wet,Blue-Green,arabica,1
250,1550.0,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,2080.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
2,1200.0,0.0,0,4,0.0,Philippines,Typica,Natural / Dry,,arabica,1
20,1800.0,0.11,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
275,1450.0,0.1,0,0,0.0,Honduras,,,Green,arabica,1
36,1100.0,0.12,0,7,0.0,Mexico,Typica,Washed / Wet,,arabica,0
50,600.0,0.09,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
300,12.0,0.08,0,2,0.0,Brazil,Yellow Bourbon,,,arabica,1
250,1750.0,0.0,1,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
1,1860.0,0.11,0,1,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
6,1050.0,0.09,2,4,0.0,Mexico,,,,arabica,1
14,,0.0,3,15,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,1
14,1320.0,0.13,0,0,0.0,Mexico,Other,Washed / Wet,Green,arabica,1
250,1300.0,0.12,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1550.0,0.12,0,2,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
29,1900.0,0.11,0,0,0.0,Costa Rica,Catuai,Pulped natural / honey,Green,arabica,1
300,,0.0,1,2,9.0,Brazil,,,Green,arabica,1
50,1300.0,0.1,0,1,0.0,Mexico,Typica,Washed / Wet,,arabica,0
275,1400.0,0.12,0,1,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
250,1850.0,0.09,0,1,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
250,1200.0,0.11,0,1,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
250,1800.0,0.08,0,3,0.0,Colombia,,,,arabica,1
11,1296.0,0.11,0,0,0.0,Mexico,Typica,Natural / Dry,Green,arabica,1
275,,0.0,0,4,2.0,Colombia,,,,arabica,1
320,3170.0,0.0,0,2,0.0,India,,Washed / Wet,,robusta,1
250,1880.0,0.16,0,2,0.0,Colombia,,,,arabica,1
100,1500.0,0.11,0,6,7.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
